Ticker.Symbol,Sector,After.Tax.ROE,Capital.Expenditures,Cash.Ratio,Cash.and.Cash.Equivalents,Current.Ratio,Depreciation,Gross.Margin,Gross.Profit,Interest.Expense,Investments,Liabilities,Long.Term.Debt,Long.Term.Investments,Net.Cash.Flow,Net.Income,Operating.Income,Operating.Margin,Profit.Margin,Quick.Ratio,Research.and.Development,Total.Assets,Total.Equity,Total.Liabilities,Earnings.Per.Share,Estimated.Shares.Outstanding,wide$percent_change,Returns
AAL,Industrials,135,-6.15E+09,51,1.09E+09,73,1.49E+09,73,2.99E+10,8.80E+08,4.43E+08,-6.33E+08,1.83E+10,0,-6.04E+08,7.61E+09,6.20E+09,15,19,67,0,4.84E+10,5.64E+09,4.28E+10,11.39,668129938.5,-0.210330091,Low
ABBV,Health Care,130,-5.32E+08,77,8.40E+09,150,8.36E+08,80,1.84E+10,6.86E+08,2.90E+07,1.50E+09,2.92E+10,1.45E+08,5.10E+07,5.14E+09,7.54E+09,33,23,134,4.29E+09,5.31E+10,3.95E+09,4.91E+10,3.15,1633015873,-0.094743273,Low
ABT,Health Care,21,-1.11E+09,67,5.00E+09,154,1.47E+09,57,1.17E+10,1.63E+08,-8.21E+08,2.15E+08,5.87E+09,4.04E+09,9.38E+08,4.42E+09,2.87E+09,14,22,126,1.41E+09,4.12E+10,2.12E+10,2.00E+10,2.94,1504421769,-0.002443359,High
ADM,Consumer Staples,10,-1.13E+09,49,6.12E+09,162,8.82E+08,6,4.02E+09,3.08E+08,3.50E+07,-1.69E+09,5.78E+09,4.34E+09,-1.89E+08,1.85E+09,1.81E+09,3,3,101,0,4.02E+10,1.79E+10,2.22E+10,2.99,618394648.8,-0.294615385,Low
ADS,Information Technology,30,-191683000,25,1624601000,254,524467000,30,1957046000,330184000,-2899032000,98026000,10136018000,0,90885000,596541000,1261860000,20,9,254,0,22421830000,2010030000,20411800000,8.91,66951851.85,-0.033140994,High
AEE,Utilities,9,-1.92E+09,14,2.92E+08,92,8.96E+08,43,2.60E+09,3.55E+08,-2.00E+06,-9.10E+07,6.88E+09,5.56E+08,2.87E+08,6.36E+08,1.26E+09,21,10,66,0,2.36E+10,6.95E+09,1.67E+10,2.6,244615384.6,-0.062865834,Low
AKAM,Information Technology,10,-311676000,225,289473000,377,318088000,67,1471828000,18525000,153060000,54503000,624288000,774674000,50823000,321406000,466150000,21,15,377,148591000,4187925000,3120878000,1067047000,1.8,178558888.9,-0.164072398,Low
ALB,Materials,10,-227649000,13,213734000,113,260076000,33,1196872000,132722000,3154000,-73151000,3174674000,455417000,-2276034000,334906000,442435000,12,9,82,102871000,9615014000,3254392000,6360622000,3.01,111264451.8,-0.068518259,Low
ALK,Industrials,35,-8.31E+08,74,7.30E+07,92,3.20E+08,65,3.66E+09,8.00E+06,-1.52E+08,1.31E+08,5.71E+08,0,-3.40E+07,8.48E+08,1.30E+09,23,15,89,0,6.53E+09,2.41E+09,4.12E+09,6.61,128290469,0.347222301,High
ALLE,Industrials,601,-35200000,45,199700000,164,53200000,42,869100000,52900000,12300000,-17200000,1457500000,0,-90800000,153900000,358600000,17,7,119,0,2.26E+09,25600000,2237400000,1.6,96187500,0.188604385,High
ALXN,Health Care,2,-2.86E+08,195,1.01E+09,341,1.67E+08,91,2.37E+09,4.80E+07,6.35E+08,-1.54E+08,3.41E+09,0,6.60E+07,1.44E+08,5.37E+08,21,6,300,7.09E+08,1.31E+10,8.26E+09,4.84E+09,0.68,211764705.9,0.030913911,High
AME,Industrials,18,-69083000,37,381005000,158,149460000,36,1425015000,91795000,0,-75009000,1556045000,180775000,3390000,590859000,907716000,23,15,108,0,6664530000,3254626000,3409904000,2.46,240186585.4,0.018240528,High
AMGN,Health Care,25,-5.94E+08,362,4.14E+09,445,2.11E+09,80,1.74E+10,1.10E+09,-4.42E+09,8.99E+08,2.92E+10,0,4.13E+08,6.94E+09,8.47E+09,39,32,416,4.07E+09,7.14E+10,2.81E+10,4.34E+10,9.15,758360655.7,0.019084746,High
AMT,Real Estate,10,-728753000,39,462879000,83,1292260000,73,3462648000,595949000,9504000,150984000,17068807000,732903000,7194000,685074000,1612789000,34,14,83,0,26904272000,6651679000,20252593000,1.42,482446478.9,-0.019221052,High
AMZN,Consumer Discretionary,4,-4.59E+09,58,1.59E+10,105,6.28E+09,33,3.54E+10,4.59E+08,-1.07E+09,1.26E+10,8.23E+09,0,1.33E+09,5.96E+08,2.23E+09,2,1,75,0,6.47E+10,1.34E+10,5.14E+10,1.28,465625000,1.177831487,High
AN,Consumer Discretionary,19,-247600000,1,74100000,91,132100000,16,3261500000,149200000,-10200000,566700000,1745300000,0,-1300000,442600000,873100000,4,2,21,0,9548200000,2349300000,7198900000,3.93,112620865.1,-0.012415163,High
APA,Energy,917,-5.18E+09,80,1.47E+09,204,2.95E+10,68,4.32E+09,2.99E+08,1.25E+09,-5.07E+08,8.78E+09,0,6.98E+08,-2.35E+10,-2.79E+10,437,369,173,0,1.88E+10,2.57E+09,1.63E+10,-61.2,384444444.4,-0.290410046,Low
APC,Energy,52,-6.07E+09,22,9.39E+08,95,4.60E+09,63,5.51E+09,8.25E+08,-3.00E+06,-6.21E+09,1.56E+10,0,-6.43E+09,-6.69E+09,-8.81E+09,101,77,95,0,4.63E+10,1.28E+10,3.35E+10,-13.18,507738998.5,-0.411151491,Low
APH,Industrials,24,-172100000,175,1737200000,382,171600000,32,1779500000,68300000,335900000,35400000,2813200000,0,768300000,763500000,1104700000,20,14,297,0,7458400000,3238500000,4219900000,2.47,309109311.7,-0.02936259,High
ARNC,Industrials,3,-1.18E+09,37,1.92E+09,153,1.28E+09,20,4.47E+09,4.98E+08,-9.40E+07,-1.20E+09,9.04E+09,1.69E+09,4.20E+07,-3.22E+08,7.48E+08,3,1,87,2.38E+08,3.65E+10,1.20E+10,2.45E+10,-0.31,1038709677,-0.374920844,Low
ATVI,Information Technology,11,-1.11E+08,70,1.82E+09,130,5.01E+08,66,3.08E+09,1.98E+08,0,1.81E+08,4.08E+09,9.00E+06,-3.03E+09,8.92E+08,1.32E+09,28,19,125,6.46E+08,1.53E+10,8.07E+09,7.18E+09,1.21,737190082.6,0.921091762,High
AWK,Utilities,9,-1.16E+09,4,6.60E+07,43,4.40E+08,56,1.76E+09,0,-1.97E+08,2.30E+07,6.21E+09,0,2.20E+07,4.76E+08,1.08E+09,34,15,40,0,1.72E+10,5.05E+09,1.22E+10,2.66,178947368.4,0.121013154,High
BA,Industrials,82,-2.45E+09,24,1.13E+10,135,1.83E+09,15,1.40E+10,2.75E+08,5.54E+08,3.95E+09,8.73E+09,4.64E+09,-4.31E+08,5.18E+09,7.44E+09,8,5,42,3.33E+09,9.44E+10,6.34E+09,8.81E+10,7.52,688297872.3,0.112401911,High
BAX,Health Care,11,-9.11E+08,128,2.21E+09,205,7.59E+08,42,4.15E+09,1.26E+08,0,2.36E+08,3.94E+09,0,-7.12E+08,9.68E+08,4.49E+08,5,10,177,6.03E+08,2.10E+10,8.85E+09,1.21E+10,1.78,543820224.7,-0.479465111,Low
BCR,Health Care,9,-102900000,82,1030900000,156,193100000,62,2114800000,44900000,2.10E+07,-217300000,1144100000,0,-9600000,135400000,843500000,25,4,123,259200000,4.84E+09,1455300000,3388700000,1.8,75222222.22,0.136958394,High
BHI,Energy,12,-9.65E+08,84,2.32E+09,334,1.74E+09,8,1.33E+09,2.17E+08,-3.10E+08,-1.65E+09,3.89E+09,0,5.84E+08,-1.97E+09,-2.40E+09,15,12,229,4.66E+08,2.41E+10,1.63E+10,7.78E+09,-4.49,438084632.5,-0.176921669,Low
BIIB,Health Care,38,-6.43E+08,133,1.31E+09,260,600400000,88,9523400000,0,-2801900000,-2.72E+08,6521500000,3.87E+09,148900000,3.55E+09,4.89E+09,45,33,225,2012800000,19504800000,9372800000,1.01E+10,15.38,230624187.3,-0.097510693,Low
BLL,Materials,22,-527900000,10,2.24E+08,102,285500000,19,1536700000,143200000,0,-1.80E+07,5054200000,0,32600000,280900000,605200000,8,4,60,0,9.78E+09,1251300000,8525700000,2.05,137024390.2,0.06689167,High
BMY,Health Care,11,-8.20E+08,53,2.39E+09,130,3.76E+08,76,1.27E+10,0,-3.49E+08,-6.54E+08,6.55E+09,4.66E+09,-3.19E+09,1.57E+09,1.89E+09,11,9,115,5.92E+09,3.17E+10,1.43E+10,1.75E+10,0.94,1664893617,0.165339694,High
BSX,Health Care,4,-2.47E+08,13,3.19E+08,143,8.05E+08,71,5.30E+09,2.84E+08,-2.05E+08,3.17E+08,5.67E+09,0,-2.68E+08,-2.39E+08,-3.27E+08,4,3,101,8.76E+08,1.81E+10,6.32E+09,1.18E+10,-0.18,1327777778,0.391698189,High
BWA,Consumer Discretionary,17,-577300000,25,577700000,133,320200000,21,1703100000,60400000,13100000,57700000,2108900000,460900000,-220100000,609700000,939700000,12,8,102,0,8825700000,3553700000,5.27E+09,2.72,224154411.8,-0.213284819,Low
CAT,Industrials,17,-3.26E+09,25,6.46E+09,128,3.05E+09,27,1.29E+10,5.07E+08,-6.80E+08,-2.40E+09,2.52E+10,1.48E+10,-8.81E+08,2.51E+09,3.79E+09,8,5,91,2.12E+09,7.83E+10,1.48E+10,6.35E+10,3.54,709604519.8,-0.257511201,Low
CBG,Real Estate,20,-141517000,12,613167000,106,326407000,10,1139269000,118880000,118654000,320914000,2645111000,217943000,-200481000,547132000,835944000,8,5,106,0,11017943000,2712652000,8305291000,1.64,333617073.2,0.009635095,High
CCI,Real Estate,21,-908892000,36,309541000,115,1073304000,64,2342425000,527128000,54475000,320625000,12143019000,1306408000,3190000,1520992000,946180000,26,42,115,0,22036245000,7089221000,14947024000,4.44,342565765.8,0.098475226,High
CELG,Health Care,27,-286300000,333,4880300000,477,4.02E+08,95,8835900000,310600000,1729800000,625300000,14161400000,0,758700000,1.60E+09,2254600000,24,17,455,3697300000,26964400000,5.92E+09,21045400000,2.02,793069306.9,0.070624003,High
CF,Materials,16,-2469300000,25,308800000,93,479600000,36,1547100000,133200000,12800000,-2.70E+08,5592700000,297800000,-1710600000,664900000,1193100000,28,15,66,0,12738900000,4035200000,8703700000,2.97,223872053.9,-0.850260507,Low
CHD,Consumer Staples,20,-61800000,38,3.30E+08,104,1.01E+08,45,1511800000,30500000,0,51500000,692800000,8400000,-9.30E+07,410400000,674200000,20,12,72,0,4256900000,2023200000,2233700000,3.13,131118210.9,0.077020672,High
CHK,Energy,687,-3.77E+09,22,8.25E+08,67,2.23E+09,19,2.47E+09,3.17E+08,-1.00E+07,-2.22E+09,1.04E+10,3.82E+08,-3.28E+09,-1.47E+10,-1.89E+10,148,115,67,0,1.74E+10,2.14E+09,1.50E+10,-22.43,654703522.1,-0.770056208,Low
CHRW,Industrials,44,-28115000,12,168229000,119,66409000,17,2268480000,35529000,0,-25358000,5.00E+08,0,39289000,509699000,858310000,6,4,119,0,3184358000,1150450000,2033908000,3.52,144800852.3,-0.171852039,Low
CHTR,Consumer Discretionary,589,-1.84E+09,0,5.00E+06,17,2.13E+09,34,3.33E+09,1.31E+09,0,3.19E+08,3.57E+10,0,2.00E+06,-2.71E+08,1.11E+09,11,3,17,0,3.93E+10,-4.60E+07,3.94E+10,-2.43,111522633.7,0.098907763,High
CL,Consumer Staples,463,-6.91E+08,27,9.70E+08,124,4.49E+08,59,9.40E+09,0,-1.43E+08,-6.70E+07,6.27E+09,0,-1.19E+08,1.38E+09,2.79E+09,17,9,91,0,1.20E+10,-2.99E+08,1.23E+10,1.53,904575163.4,-0.03714408,High
CMG,Consumer Discretionary,22,-257418000,237,248005000,291,130368000,26,1174287000,0,-206722000,16911000,0,622939000,-171460000,475602000,763589000,17,11,286,0,2725066000,2127974000,597092000,15.3,31085098.04,-0.298987598,Low
CMI,Industrials,19,-7.44E+08,48,1.71E+09,209,5.14E+08,26,4.95E+09,6.50E+07,-1.10E+07,-7.00E+07,1.58E+09,9.75E+08,-5.90E+08,1.40E+09,2.06E+09,11,7,138,7.35E+08,1.51E+10,7.41E+09,7.73E+09,7.86,177989821.9,-0.389540104,Low
CMS,Utilities,14,-1.56E+09,12,2.85E+08,101,7.50E+08,34,2.18E+09,4.00E+08,-3.85E+08,-2.60E+07,8.52E+09,1.09E+09,3.90E+07,5.37E+08,1.16E+09,18,8,67,0,2.03E+10,3.94E+09,1.63E+10,1.9,282631578.9,0.038273439,High
CNP,Utilities,20,-1.58E+09,43,2.64E+08,109,9.97E+08,31,2.28E+09,4.57E+08,1.80E+08,-2.76E+08,7.90E+09,2.99E+09,-3.40E+07,-6.92E+08,9.33E+08,13,9,95,0,2.13E+10,3.46E+09,1.79E+10,-1.61,429813664.6,-0.216389202,Low
COG,Energy,6,-955602000,0,514000,61,626665000,57,776156000,96911000,-45385000,-65244000,2.01E+09,103517000,-20440000,-113891000,-90362000,7,8,54,0,5261899000,2009188000,3252711000,-0.28,406753571.4,-0.402566687,Low
CTL,Telecommunications Services,6,-2.87E+09,3,1.26E+08,58,4.19E+09,57,1.01E+10,1.31E+09,0,-2.77E+08,1.87E+10,0,-2.00E+06,8.78E+08,2.61E+09,15,5,58,0,4.76E+10,1.41E+10,3.35E+10,1.58,555696202.5,-0.364325449,Low
CTSH,Information Technology,17,-272800000,182,2125200000,291,3.30E+08,40,4975800000,17700000,-1096100000,502200000,881200000,0,115100000,1623600000,2.14E+09,17,13,291,0,13065400000,9278100000,3787300000,2.67,608089887.6,0.139764527,High
CTXS,Information Technology,16,-160825000,52,368518000,100,428892000,81,2661230000,44153000,205987000,229152000,1311071000,891964000,108369000,319361000,350085000,11,10,100,563975000,5467517000,1973446000,3494071000,2.01,158886069.7,0.185736727,High
CVS,Consumer Staples,14,-2.37E+09,11,2.46E+09,126,2.09E+09,17,2.65E+10,8.38E+08,3.87E+08,3.50E+09,2.63E+10,0,-2.20E+07,5.24E+09,9.45E+09,6,3,65,0,9.24E+10,3.72E+10,5.52E+10,4.66,1123819742,0.015159371,High
CVX,Energy,3,-2.95E+10,43,1.10E+10,134,2.10E+10,29,3.71E+10,0,1.66E+08,-8.68E+08,3.37E+10,2.95E+10,-1.76E+09,4.59E+09,-3.71E+09,3,4,110,0,2.66E+11,1.53E+11,1.13E+11,2.46,1864634146,-0.198074532,Low
CXO,Energy,1,-2511403000,38,228550000,220,1230853000,70,1262214000,215384000,541574000,-73721000,3332188000,167038000,228529000,65900000,381003000,21,4,220,0,12641876000,6942551000,5699325000,0.54,122037037,-0.069072672,Low
D,Utilities,15,-5.58E+09,8,6.23E+08,52,1.67E+09,47,5.48E+09,9.04E+08,-9.01E+08,-2.51E+08,2.36E+10,5.77E+09,2.89E+08,1.90E+09,3.54E+09,30,16,35,0,5.88E+10,1.27E+10,4.61E+10,3.21,591588785,-0.120416161,Low
DAL,Industrials,42,-2.95E+09,31,3.96E+09,52,1.84E+09,58,2.36E+10,4.81E+08,-7.59E+08,-2.95E+08,6.77E+09,0,-1.16E+08,4.53E+09,7.80E+09,19,11,48,0,5.31E+10,1.09E+10,4.23E+10,5.68,796830985.9,0.030494003,High
DD,Materials,20,-1.63E+09,60,5.30E+09,169,1.47E+09,40,1.00E+10,3.42E+08,-1.61E+08,-1.30E+09,7.64E+09,6.88E+08,-1.61E+09,1.95E+09,3.05E+09,12,8,109,1.90E+09,4.12E+10,9.99E+09,3.12E+10,2.17,9.00E+08,-0.099269656,Low
DGX,Health Care,15,-2.63E+08,11,1.33E+08,128,3.04E+08,38,2.84E+09,1.53E+08,-3.20E+07,-7.20E+07,3.49E+09,4.73E+08,-5.90E+07,7.09E+08,1.40E+09,19,9,121,0,9.96E+09,4.68E+09,5.28E+09,4.92,144105691.1,0.060841055,High
DHR,Industrials,14,-6.33E+08,13,790800000,127,1051300000,52,10762500000,162800000,-44100000,221800000,12025200000,0,-2214800000,3357400000,3469100000,17,16,93,1239100000,48222200000,23690300000,24531900000,4.81,698004158,0.08365418,High
DLPH,Consumer Discretionary,64,-7.04E+08,14,5.36E+08,130,5.51E+08,20,3.01E+09,1.27E+08,0,-5.80E+07,3.96E+09,9.40E+07,-3.25E+08,1.45E+09,1.72E+09,11,10,100,0,1.20E+10,2.25E+09,9.72E+09,5.08,285433070.9,0.178905416,High
DNB,Industrials,15,-12800000,38,365700000,100,98500000,100,1637100000,5.10E+07,-21900000,4400000,1804100000,4200000,46300000,168800000,3.37E+08,21,10,100,0,2273600000,-1116800000,3390400000,4.68,36068376.07,-0.140790337,Low
DOV,Industrials,24,-154251000,26,362185000,177,327089000,37,2568144000,131676000,-17752000,-108335000,2603655000,0,-319396000,869829000,920762000,13,13,118,0,8606076000,3644575000,4961501000,5.52,157577717.4,-0.145147795,Low
DPS,Consumer Staples,35,-1.79E+08,58,9.11E+08,115,1.63E+08,59,3.72E+09,1.17E+08,-3.50E+07,2.20E+07,2.88E+09,3.10E+07,6.83E+08,7.64E+08,1.30E+09,21,12,102,0,8.87E+09,2.18E+09,6.69E+09,4,1.91E+08,0.300223172,High
DUK,Utilities,7,-6.77E+09,8,8.57E+08,73,3.61E+09,41,9.73E+09,1.61E+09,1.37E+09,-1.19E+08,3.75E+10,6.32E+09,-1.18E+09,2.82E+09,5.37E+09,23,12,40,0,1.21E+11,3.97E+10,8.14E+10,4.05,695308642,-0.145439333,Low
DVA,Health Care,6,-707998000,79,1499116000,188,638024000,29,3957003000,0,-97032000,256947000,9001308000,167490000,533875000,269732000,1170695000,8,2,180,0,18514875000,4870780000,13644095000,1.27,212387401.6,-0.079614459,Low
DVN,Energy,205,-6.42E+09,70,2.31E+09,122,3.39E+09,84,1.10E+10,5.17E+08,0,-6.00E+06,1.21E+10,0,8.30E+08,-1.45E+10,-2.07E+10,158,110,122,0,2.95E+10,7.05E+09,2.24E+10,-35.55,406582278.5,-0.477209598,Low
EBAY,Information Technology,26,-6.68E+08,271,1.83E+09,349,6.87E+08,79,6.82E+09,0,3.70E+07,-1.00E+06,6.75E+09,3.39E+09,-4.50E+09,1.73E+09,2.20E+09,26,20,349,9.23E+08,1.78E+10,6.58E+09,1.12E+10,1.43,1206293706,-0.510334962,Low
ECL,Materials,15,-7.71E+08,2,92800000,93,859500000,47,6321600000,243600000,108400000,62300000,4260200000,0,-116800000,1002100000,1561300000,12,7,64,0,18641700000,6909900000,11731800000,3.38,296479289.9,0.094336015,High
ED,Utilities,9,0,20,9.44E+08,81,1.08E+09,44,5.49E+09,6.53E+08,-3.35E+09,2.01E+08,1.20E+10,8.84E+08,2.49E+08,1.19E+09,2.43E+09,19,10,74,0,4.56E+10,1.31E+10,3.26E+10,4.07,293120393.1,-0.026359717,High
EFX,Financials,19,-146200000,15,93300000,93,2.00E+08,67,1776200000,63800000,-1.00E+05,123800000,1145900000,0,-3.50E+07,429100000,693900000,26,16,93,0,4.51E+09,2310900000,2198100000,3.61,118864265.9,0.377148496,High
EIX,Utilities,10,-4.23E+09,3,1.61E+08,54,2.01E+09,37,4.27E+09,5.55E+08,3.74E+08,8.00E+06,1.10E+10,4.62E+09,2.90E+07,1.12E+09,2.01E+09,17,10,48,0,5.03E+10,1.14E+10,3.89E+10,3.13,356869009.6,-0.095754486,Low
EMN,Materials,22,-6.52E+08,14,2.93E+08,140,5.71E+08,27,2.58E+09,2.63E+08,0,-3.61E+08,6.61E+09,0,7.90E+07,8.48E+08,1.38E+09,14,9,68,2.51E+08,1.56E+10,3.94E+09,1.17E+10,5.71,148511383.5,-0.110071169,Low
EOG,Energy,35,-5013163000,39,718506000,142,3313644000,75,6579671000,237393000,0,-1463656000,6653685000,0,-1368707000,-4524515000,-6686079000,76,52,110,0,26975244000,12943035000,14032209000,-8.29,545779855.2,-0.231128478,Low
EQIX,Real Estate,7,-906402000,164,2708255000,197,541630000,53,1434361000,299055000,514108000,126114000,5564542000,4584000,1617921000,187774000,567342000,21,7,197,0,10356695000,2745386000,7611309000,3.25,57776615.38,0.33374498,High
EQT,Energy,2,-2434018000,201,1601232000,283,819216000,73,1430957000,146531000,0,-37623000,2793343000,77025000,523803000,85171000,177377000,9,4,283,0,13976172000,5077791000,8898381000,0.56,152091071.4,-0.311360594,Low
ES,Utilities,8,-1724139000,1,23947000,88,688195000,44,3538633000,372420000,82051000,-61336000,8805574000,516478000,-14756000,878485000,1764164000,22,11,76,0,30580309000,10352215000,20228094000,2.77,317142599.3,-0.04577728,High
ETN,Industrials,13,-5.06E+08,10,2.68E+08,143,9.25E+08,31,6.56E+09,2.32E+08,3.70E+07,-2.33E+08,7.78E+09,0,-5.13E+08,1.98E+09,2.34E+09,11,9,93,6.25E+08,3.10E+10,1.52E+10,1.58E+10,4.25,465647058.8,-0.234255418,Low
ETR,Utilities,2,-2500860000,44,1350961000,132,2117236000,35,4063978000,670096000,-58211000,-520388000,13138557000,5822998000,-71065000,-156734000,-299165000,3,1,96,0,44647681000,9256791000,35390890000,-0.99,158317171.7,-0.218564259,Low
EW,Health Care,20,-102700000,257,718400000,430,65800000,75,1876500000,17200000,119600000,163900000,599900000,383500000,64600000,494900000,635700000,25,20,359,383100000,4059300000,2503100000,1556200000,2.3,215173913,-0.37996542,Low
EXPD,Industrials,27,-44383000,94,807796000,231,46012000,33,2187777000,0,40294000,-65782000,0,0,-119311000,457223000,721484000,11,7,231,0,2582438000,1691993000,890445000,2.42,188935124,0.010984017,High
EXPE,Consumer Discretionary,16,-787041000,29,1687623000,50,671206000,80,5362758000,126195000,-56180000,325589000,3183140000,642802000,273599000,764465000,413566000,6,11,50,0,15485675000,4864394000,10621281000,5.87,130232538.3,0.456185585,High
F,Consumer Discretionary,26,-7.20E+09,43,1.43E+10,125,7.97E+09,12,1.81E+10,7.73E+08,3.78E+10,7.76E+09,8.99E+10,4.88E+10,3.52E+09,7.37E+09,7.65E+09,5,5,114,0,2.25E+11,2.86E+10,1.96E+11,1.86,3963978495,-0.090967742,Low
FAST,Industrials,29,-155168000,35,129019000,446,86598000,50,1948934000,3108000,0,5148000,302950000,0,14523000,516361000,828755000,21,13,201,0,2532462000,1801289000,731173000,1.77,291729378.5,-0.141715746,Low
FB,Information Technology,8,-2.52E+09,958,4.91E+09,1125,1.95E+09,84,1.51E+10,0,-6.70E+09,1.90E+09,1.07E+08,0,5.92E+08,3.67E+09,6.23E+09,35,20,1125,4.82E+09,4.94E+10,4.42E+10,5.19E+09,1.31,2800763359,0.341451013,High
FBHS,Industrials,13,-128500000,31,238500000,187,115700000,35,1581900000,31900000,0,41200000,1171600000,0,46600000,3.15E+08,496100000,11,7,114,0,4878600000,2450900000,2427700000,1.97,159898477.2,0.225977469,High
FCX,Materials,155,-6.35E+09,5,2.24E+08,173,3.71E+09,80,-1.26E+10,6.45E+08,0,-9.16E+08,1.98E+10,0,-2.40E+08,-1.22E+10,-1.34E+10,84,77,62,1.27E+08,4.66E+10,7.83E+09,3.87E+10,-11.31,1074801061,-0.710188369,Low
FIS,Information Technology,7,-133300000,29,687600000,149,680300000,33,2.20E+09,199100000,0,91100000,11497800000,0,194800000,650800000,1099200000,17,10,149,0,26268800000,9.32E+09,16947800000,2.22,293153153.2,-0.02572352,High
