Ticker.Symbol,Sector,After.Tax.ROE,Capital.Expenditures,Cash.Ratio,Cash.and.Cash.Equivalents,Current.Ratio,Depreciation,Gross.Margin,Gross.Profit,Interest.Expense,Investments,Liabilities,Long.Term.Debt,Long.Term.Investments,Net.Cash.Flow,Net.Income,Operating.Income,Operating.Margin,Profit.Margin,Quick.Ratio,Research.and.Development,Total.Assets,Total.Equity,Total.Liabilities,Earnings.Per.Share,Estimated.Shares.Outstanding,wide$percent_change,Returns
NEM,Materials,2,-1.40E+09,198,2.78E+09,352,1.24E+09,44,3.42E+09,3.25E+08,2.90E+07,0,6.09E+09,4.02E+08,3.79E+08,2.20E+08,1.16E+09,15,3,238,2.89E+08,2.52E+10,1.14E+10,1.38E+10,0.43,511627907,-0.048148148,High
NFLX,Information Technology,6,-91248000,65,1809330000,154,3547045000,32,2188035000,132716000,-8074000,172560000,2371362000,0,695722000,122641000,305826000,5,2,154,650788000,10202871000,2223426000,7979445000,0.29,422900000,-0.665173753,Low
NFX,Energy,244,-1.75E+09,1,5.00E+06,97,9.17E+08,68,1.06E+09,1.31E+08,0,-1.80E+07,2.47E+09,1.25E+08,-9.00E+06,-3.36E+09,-5.06E+09,325,216,91,0,4.77E+09,1.38E+09,3.39E+09,-21.18,158734655.3,0.200589963,High
NLSN,Industrials,13,-1.34E+08,21,3.57E+08,113,5.74E+08,59,3.63E+09,3.11E+08,3.00E+07,6.00E+07,7.03E+09,0,8.40E+07,5.70E+08,1.09E+09,18,9,113,0,1.53E+10,4.43E+09,1.09E+10,1.55,367741935.5,0.041806349,High
NOV,Energy,5,-4.53E+08,49,2.08E+09,278,7.47E+08,21,3.06E+09,1.03E+08,0,-2.56E+09,3.93E+09,3.27E+08,-1.46E+09,-7.69E+08,-3.90E+08,3,5,168,0,2.67E+10,1.64E+10,1.03E+10,-1.99,386432160.8,-0.488936327,Low
NSC,Industrials,13,-2.39E+09,49,1.10E+09,113,1.06E+09,65,6.85E+09,5.45E+08,2.35E+08,-1.52E+08,9.39E+09,2.57E+09,1.28E+08,1.56E+09,2.88E+09,27,15,100,0,3.41E+10,1.22E+10,2.20E+10,5.13,303313840.2,-0.228263888,Low
NUE,Materials,5,-374123000,147,1939469000,415,700017000,10,1581262000,173531000,-475000,-432399000,4360600000,0,915325000,357659000,877440000,5,2,261,0,14250399000,7416878000,6833521000,1.11,322215315.3,-0.178389402,Low
NWL,Consumer Discretionary,19,-211400000,14,274800000,125,171600000,39,2304600000,79900000,0,4.40E+07,2687600000,0,75400000,3.50E+08,601400000,10,6,89,0,7.28E+09,1822900000,5455100000,1.3,269230769.2,0.157259176,High
OKE,Energy,73,-1188312000,6,97619000,60,354620000,27,2122154000,416787000,33915000,-223596000,8323582000,948221000,-75150000,244977000,996159000,13,3,47,0,15446111000,335798000,15110313000,1.17,209382051.3,-0.504719833,Low
OMC,Consumer Discretionary,45,-202700000,18,2605200000,84,281900000,17,2.64E+09,181100000,-5.00E+05,0,3564200000,136600000,217100000,1093900000,1920100000,13,7,76,0,22110700000,2452400000,19658300000,4.43,246930022.6,-0.023363844,High
