"X","Ticker.Symbol","Period.Ending","After.Tax.ROE","Capital.Expenditures","Cash.Ratio","Cash.and.Cash.Equivalents","Current.Ratio","Depreciation","Gross.Margin","Gross.Profit","Interest.Expense","Investments","Liabilities","Long.Term.Debt","Long.Term.Investments","Net.Cash.Flow","Net.Income","Operating.Income","Operating.Margin","Profit.Margin","Quick.Ratio","Research.and.Development","Total.Assets","Total.Equity","Total.Liabilities","Earnings.Per.Share","Estimated.Shares.Outstanding"
555,"EOG","2015-12-31",35,-5013163000,39,718506000,142,3313644000,75,6579671000,237393000,0,-1463656000,6653685000,0,-1368707000,-4524515000,-6686079000,76,52,110,0,26975244000,12943035000,14032209000,-8.29,545779855.247
558,"EQIX","2014-12-31",11,-676994000,178,613974000,232,500358000,51,1245891000,270553000,239551000,275847000,4563126000,439000,349023000,-259547000,509266000,21,11,232,0,7781978000,2270131000,5511847000,-4.96,52328024.1935
559,"EQIX","2015-12-31",7,-906402000,164,2708255000,197,541630000,53,1434361000,299055000,514108000,126114000,5564542000,4584000,1617921000,187774000,567342000,21,7,197,0,10356695000,2745386000,7611309000,3.25,57776615.3846
565,"EQT","2014-12-31",8,-2451490000,129,1077429000,229,679298000,81,1944794000,136537000,0,30350000,2793479000,0,231788000,386965000,738307000,31,16,229,0,12035353000,4582815000,7452538000,2.55,151750980.392
566,"EQT","2015-12-31",2,-2434018000,201,1601232000,283,819216000,73,1430957000,146531000,0,-37623000,2793343000,77025000,523803000,85171000,177377000,9,4,283,0,13976172000,5077791000,8898381000,0.56,152091071.429
570,"ES","2014-12-31",8,-1603744000,1,38703000,86,625361000,43,3292717000,362106000,-2431000,-178481000,8568429000,515025000,-4661000,819546000,1632849000,21,11,75,0,29740387000,9976815000,19763572000,2.59,316427027.027
571,"ES","2015-12-31",8,-1724139000,1,23947000,88,688195000,44,3538633000,372420000,82051000,-61336000,8805574000,516478000,-14756000,878485000,1764164000,22,11,76,0,30580309000,10352215000,20228094000,2.77,317142599.278
582,"ETN","2014-12-31",11,-6.32e+08,19,7.81e+08,151,9.83e+08,31,6.906e+09,2.27e+08,5.22e+08,-4.8e+07,8.024e+09,0,-1.34e+08,1.793e+09,1.805e+09,8,8,106,6.47e+08,3.3529e+10,1.5786e+10,1.769e+10,3.78,474338624.339
583,"ETN","2015-12-31",13,-5.06e+08,10,2.68e+08,143,9.25e+08,31,6.563e+09,2.32e+08,3.7e+07,-2.33e+08,7.781e+09,0,-5.13e+08,1.979e+09,2.342e+09,11,9,93,6.25e+08,3.1031e+10,1.5186e+10,1.58e+10,4.25,465647058.824
586,"ETR","2014-12-31",10,-2119191000,37,1422026000,114,2127892000,35,4368734000,661083000,-70348000,1382824000,12416420000,5812335000,682900000,960257000,2006889000,16,8,85,0,46414455000,10101725000,36312730000,5.24,183255152.672
